book	chapter	verse_order	sentence_order	sentence
Jo2 	1 	1 	1 	The elder unto the elect lady and her children, whom I love in the truth; and not I only, but also all they that have known the truth;
Jo2 	1 	2 	1 	For the truth's sake, which dwelleth in us, and shall be with us for ever.
Jo2 	1 	3 	1 	Grace be with you, mercy, and peace, from God the Father, and from the Lord Jesus Christ, the Son of the Father, in truth and love.
Jo2 	1 	4 	1 	I rejoiced greatly that I found of thy children walking in truth, as we have received a commandment from the Father.
Jo2 	1 	5 	1 	And now I beseech thee, lady, not as though I wrote a new commandment unto thee, but that which we had from the beginning, that we love one another.
Jo2 	1 	6 	1 	And this is love, that we walk after his commandments.
Jo2 	1 	6 	2 	This is the commandment, That, as ye have heard from the beginning, ye should walk in it.
Jo2 	1 	7 	1 	For many deceivers are entered into the world, who confess not that Jesus Christ is come in the flesh.
Jo2 	1 	7 	2 	This is a deceiver and an antichrist.
Jo2 	1 	8 	1 	Look to yourselves, that we lose not those things which we have wrought, but that we receive a full reward.
Jo2 	1 	9 	1 	Whosoever transgresseth, and abideth not in the doctrine of Christ, hath not God.
Jo2 	1 	9 	2 	He that abideth in the doctrine of Christ, he hath both the Father and the Son.
Jo2 	1 	10 	1 	If there come any unto you, and bring not this doctrine, receive him not into your house, neither bid him God speed:
Jo2 	1 	11 	1 	For he that biddeth him God speed is partaker of his evil deeds.
Jo2 	1 	12 	1 	Having many things to write unto you, I would not write with paper and ink: but I trust to come unto you, and speak face to face, that our joy may be full.
Jo2 	1 	13 	1 	The children of thy elect sister greet thee.
Jo2 	1 	13 	2 	Amen.
